ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
WP6-G10,1.5615377036754508,0.9290019853237059,3.7234043050407672,1.2550000000000001,0.7257602377711153,2.7429050520028233,0.5483333333333333,-0.9632357165247584,1.7764396660055883
WP6-G13,2.2244812129273344,0.9267520192687418,4.588720970750819,1.323333333333333,0.7306835391555145,3.177884085916668,0.8899999999999993,-0.6321848094044905,2.5817758775244815
WP6-G6,2.589396647869924,1.3596188821985336,4.4619486940166855,1.9358333333333333,1.0753755752420904,3.609395689750188,0.7224999999999998,-1.0485356584626506,2.5467063222472777
WP6-G3,2.834848614417826,1.301235326337123,4.922286658476236,2.026666666666667,1.0740394871450911,3.8193360678285586,1.5816666666666668,-0.12610187896537325,3.3360492258050964
WP6-G11,2.72320889148568,1.7322052546694329,4.476360274071775,2.2550000000000003,1.5162997838539696,3.768103040785157,2.011666666666667,0.4088352300362299,3.4960423175347297
WP6-G7,3.171256323078705,2.1424279950767287,4.806382854531325,2.681666666666667,1.7980925793498994,4.233949170480817,2.313333333333334,0.595404590995773,3.885672804570689
WP6-G1,3.587635014880973,2.3984928070682017,5.184045375858736,2.859166666666667,1.8457303524537683,4.56970295381455,-0.12416666666666624,-2.336901949253129,2.2449678068554335
WP6-G8,3.3453238507903333,2.3919840961130525,5.063478315688672,2.9041666666666663,1.96033044450881,4.434931087594101,0.23750000000000004,-1.9085891365370784,2.4051833421468873
WP6-G2,3.4604563764528713,2.580743646282367,4.948305637723731,3.164166666666668,2.1472971154395477,4.514391150873723,2.647500000000001,0.8142623125555443,4.074654377617544
WP6-G12,3.8812294014482918,2.7977916056528715,5.533846707347912,3.3425000000000007,2.3068629409440775,4.953715122613763,2.1808333333333336,-0.06267944117144442,4.155637352682473
WP6-G9,4.054507779414577,2.490242223131939,6.159469160898954,3.3649999999999998,2.208626416957412,5.220356577656672,3.0283333333333324,1.173016900544501,4.956755950296363
WP6-G5,5.1814291786468845,3.1419822111485587,7.197027172404297,3.8024999999999998,2.14930343142232,6.1982530043800566,3.2608333333333324,0.7717752841083433,5.817454812525984
bCD-PMT,12.492768193753424,6.779328875338622,16.6017417330661,9.860000000000001,4.318571428571429,15.372857142857145,9.305714285714288,3.2100000000000004,15.221428571428573
bCD-PMZ,12.460285481710052,7.74330032996267,15.9392659805902,10.614285714285716,5.691428571428572,15.282857142857145,8.840000000000002,2.0942857142857143,15.052857142857148
bCD-TDZ,13.411645259677448,7.548964924317202,17.025465800214857,10.845714285714289,4.975714285714285,16.261428571428574,9.582857142857145,2.457142857142857,15.871428571428572
HbCD-PMT,14.309904661756887,8.110144441200962,18.052287547961498,11.842857142857143,5.662857142857144,17.22714285714286,9.505714285714287,1.3414285714285719,16.595714285714287
bCD-CPZ,15.393648504682517,8.592874124196497,21.01438690856474,12.467142857142857,6.175714285714286,19.368571428571425,11.12142857142857,3.28,18.83142857142857
HbCD-TDZ,15.020857403718908,8.289363235927285,18.763106657176245,12.475714285714286,5.7542857142857144,17.857142857142854,10.01,0.7928571428571428,17.034285714285712
bCD-TFP,16.837437453484423,7.96159531752274,23.97660526429878,13.301428571428572,6.251428571428572,21.82428571428571,11.855714285714287,3.258571428571429,21.08142857142857
HbCD-PMZ,17.593826839466814,9.347655932295082,25.079314470011223,14.062857142857142,7.055714285714286,22.680000000000003,10.965714285714284,1.7328571428571433,21.575714285714287
HbCD-CPZ,18.441767423820465,9.879817089110794,26.607794776289577,14.129999999999999,6.191428571428571,23.511428571428574,12.224285714285713,2.9057142857142844,23.012857142857143
HbCD-TFP,18.00069403423895,9.034093361103972,24.77284169638771,14.387142857142859,6.714285714285714,22.63,11.487142857142857,1.5057142857142851,21.721428571428568
