ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
MACHINE-LEARNING/NNET/DRAGON-descriptors,3,2.043903536536562,1.1421329166845504,3.0135936171167406,1.5725,0.8830463246932858,2.5248212585358902,0.6175,-0.6471144319156965,1.7457822835771033,0.14832688458582066,0.0005181277068533281,0.7956054967879388,0.37952034821846664,-0.36736756742015914,1.1395932849290384,0.2121212121212121,-0.42372881355932207,0.7966101694915255
ELIE/GAFF2-ABCG2/TIP3P/MD/MMPBSA,8,2.485229700986745,1.39823172635419,3.9495987695845813,1.9349999999999998,1.103717496286649,3.2130940809616533,1.9299999999999997,0.7968560751523116,3.1423486567438506,0.39673123396391263,0.00336212141725381,0.8766851050990704,0.6635253927035887,-0.08725398264417346,1.4040809206257783,0.5038314736557788,-0.16666666666666666,0.8688524590163935
EE/Openff-2.0/TIP3P/MD-EE/WL_RL.02_L.01,4,2.6459938271532937,1.6866522426542516,3.691094399566205,2.16,1.3003396049311509,3.177424352488243,0.48333333333333356,-1.1754905570581764,1.9376443071294869,0.6261106557432087,0.23549203663832385,0.8834880103278833,1.6838230598952797,0.8872118149022421,2.3930890254539117,0.606060606060606,0.16666666666666666,0.9310344827586207
DDM/AMOEBA/BAR,7,2.7443608849177736,1.6381768462678559,5.2308607651996155,1.955,1.28062695794488,4.258305213198369,-0.6016666666666666,-2.696086578444991,1.6306026954189619,0.5704359597321293,0.09381580101722045,0.8816416520136562,1.60033895960155,0.5654151821968914,2.9843319335540928,0.5757575757575757,0.05084745762711865,0.8709677419354839
vDSSB/GAFF2/OPC3/HREM,2,3.745735352815697,2.5503959023940435,5.944632516207936,3.391666666666667,2.0293108098280896,5.287590296148864,3.1300000000000003,1.151094539196608,5.084603087967792,0.43993819275659746,0.0025596576036648095,0.8350831349131134,1.0300753480056193,-0.3522841710456644,2.0872946325143795,0.442760992000533,-0.24590163934426232,0.836065573770492
