ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
ATM/FFENGINE/TIP3P/HREM,14,2.1651512649235385,0.8900173526679411,5.016457150807977,1.8200000000000003,0.7191888822786092,4.600035405933252,-1.8200000000000003,-4.436109406335904,0.7427918295556314,0.39941998060878303,0.0012988872405672014,1.0,1.8719360381526822,-6.965264639477271,21.947722914239584,0.39999999999999997,-1.0,1.0
DDM/FEP/MBAR/ParamChem,16,3.5093133231445717,3.0873062692256497,3.9524220422419463,3.476,3.086,3.9200000000000004,-3.476,-3.9200000000000004,-3.086,0.33395265672747587,0.011686267418704759,1.0,0.6777711540484627,-0.8461538461538495,6.833333333333309,0.6,0.0,1.0
DD/GROMOS-53A6_glyc/SPC/MD,11,4.028138527905911,2.3751605455016906,5.7199704011702295,3.5980000000000003,1.872398156328731,5.509877210788862,-3.5980000000000003,-5.494085702222414,-1.5333159175323237,0.08008524485270628,0.00042437151702996213,1.0,1.1182803240172514,-30.616639372396744,10.983299661568314,0.10540925533894598,-1.0,1.0
APR/GAFF2/TIP3P/MD-US/MBAR,21,5.380866101288899,3.941110625841401,6.905392198180983,5.284000000000001,3.812598069121658,6.776787128740646,-5.284000000000001,-6.774684321874346,-3.8106586553974493,0.3980332164631822,0.001427697908123189,1.0,-0.8520882280744814,-7.310310830708902,6.151867971931577,-0.39999999999999997,-1.0,1.0
APR/OFF1.2.0/TIP3P/MD-US/MBAR,22,6.011334294480719,4.451632333107364,7.71870137924258,5.894,4.335205084233752,7.538466413228713,-5.894,-7.52946142009029,-4.331161053032089,0.04069746691309954,0.0008155974434986293,1.0,0.4991233299435419,-17.632317336619696,4.099475911546693,0.0,-1.0,1.0
APR/OFF2.0.0/TIP3P/MD-US/MBAR,23,6.011334294480719,4.472748443715861,7.7037806290434006,5.894,4.359253613328399,7.533811504387634,-5.894,-7.529855316447614,-4.357843360892147,0.04069746691309954,0.0010463963713443413,1.0,0.4991233299435419,-16.624330319413115,3.929873533852505,0.0,-1.0,1.0
MD/GAFF-RESP/TIP4PEW/MM-PBSA,13,16.684490402766276,15.274283191279208,18.212257751604845,16.657999999999998,15.244043382343332,18.148166825963635,16.657999999999998,15.244043382343332,18.148166825963635,0.8467712536585008,0.01125400712134654,1.0,2.6212084020058217,-8.361648206103316,6.056515536867846,0.31622776601683794,-1.0,1.0
MD/GAFF-RESP/TIP4PEW/MM-GBSA,12,19.677655348135357,18.338189757253357,21.058344782926923,19.663999999999998,18.30636354097448,21.02577329789422,19.663999999999998,18.30636354097448,21.02577329789422,0.5970030525169194,0.0057536913105307435,1.0,1.6764736823649067,-1.4786308826642733,13.423178656822238,0.9999999999999999,-0.9999999999999999,1.0
MD/GAFF-RESP/TIP4PEW/MM-GBSA_2,15,19.677655348135357,18.290082554731818,21.012790188047035,19.663999999999998,18.253252369334806,20.976212514155883,19.663999999999998,18.253252369334806,20.976212514155883,0.5970030525169194,0.004937181269455745,1.0,1.6764736823649067,-1.5534123761585519,13.091991793849678,0.9999999999999999,-0.9999999999999998,1.0
PMF/GAFF-RESP/TIP4PEW/SMD,10,29.65924712463214,23.06301435256138,34.912376712308664,28.778000000000002,22.326855952275146,34.891977868446496,28.778000000000002,22.326855952275146,34.891977868446496,0.2592878655108755,0.0004930856741024393,1.0,-7.378616263982879,-20.886406651563018,76.13904542482732,-0.19999999999999998,-1.0,1.0
