ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
MACHINE-LEARNING/NNET/DRAGON-descriptors,3,1.9702967367300874,1.1341933950223118,2.938255182632481,1.4961538461538464,0.8484305884677882,2.410155458309781,0.6146153846153847,-0.5627384451348312,1.6591441411620085,0.14832918954100757,0.0004477366159881146,0.7845854210469816,0.3795123963762487,-0.37528448452180446,1.1162012094845828,0.17948717948717946,-0.411764705882353,0.7681159420289855
ELIE/GAFF2-ABCG2/TIP3P/MD/MMPBSA,8,2.485229700986745,1.3570790929455663,3.968790364003573,1.9349999999999998,1.0844362164243566,3.2566730530774506,1.9299999999999997,0.7740895828121825,3.182844883603932,0.39673123396391263,0.003288940693732208,0.8777125705696567,0.6635253927035887,-0.08064161404332558,1.3750526488983996,0.5038314736557788,-0.17241379310344826,0.8709677419354839
EE/Openff-2.0/TIP3P/MD-EE/WL_RL.02_L.01,4,2.6836456260381785,1.807766966781294,3.673486440117226,2.2323076923076925,1.4333688892551564,3.192500138474559,0.6846153846153847,-0.8588143863733554,2.070285589948344,0.6051702655564379,0.24957111783092759,0.8577067369501606,1.6869940578271079,0.9081154871438541,2.421841057107215,0.564102564102564,0.15068493150684933,0.8805970149253731
DDM/AMOEBA/BAR,7,2.7665390764524656,1.75174729171974,5.142781233597407,2.036923076923077,1.3664930518971816,4.244220692721421,-0.7876923076923072,-2.81869155541873,1.383149160562246,0.5514112357239862,0.08773814981228364,0.863069850535214,1.5973326528089637,0.5603759192322331,2.9089121230285295,0.5384615384615383,0.02857142857142857,0.8611111111111113
vDSSB/GAFF2/OPC3/HREM,2,3.6250336868461277,2.5044163906762087,5.73847721983338,3.2515384615384617,1.9814963892676234,5.066029651445631,2.7684615384615388,0.7571206132597177,4.734720737474496,0.35654403307268656,0.0018658459982191897,0.7769318169270572,1.024302414770053,-0.5118196344684239,2.1076395239143717,0.3742013362170691,-0.25000000000000006,0.7777777777777779
