ID,sid,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound,R2,R2_lower_bound,R2_upper_bound,m,m_lower_bound,m_upper_bound,kendall_tau,kendall_tau_lower_bound,kendall_tau_upper_bound
ATM/FFENGINE/TIP3P/HREM,14,2.1651512649235385,0.8672690893318672,5.03024821648845,1.8200000000000003,0.7106239975469426,4.578377293070586,-1.8200000000000003,-4.394661966928498,0.7825525711773013,0.39941998060878303,0.0014445801967701477,1.0,1.8719360381526822,-7.289662428896504,21.08115922483654,0.39999999999999997,-1.0,1.0
DDM/FEP/MBAR/ParamChem,16,3.5093133231445717,3.0873062692256497,3.97089914251168,3.476,3.086,3.944,-3.476,-3.944,-3.086,0.33395265672747587,0.011686267418704753,1.0,0.6777711540484627,-0.9524590163934364,6.833333333333308,0.6,0.0,1.0
DD/GROMOS-53A6_glyc/SPC/MD,11,4.028138527905911,2.3785469030790853,5.735073617083345,3.5980000000000003,1.8923211414478769,5.54363030394745,-3.5980000000000003,-5.534551191104608,-1.5221001370175107,0.08008524485270628,0.0003948508774261411,1.0,1.1182803240172514,-30.322552968263768,11.270041687020093,0.10540925533894598,-1.0,1.0
PMF/GAFF-RESP/TIP4PEW/SMD,10,29.65924712463214,23.173631805910603,34.97093686136386,28.778000000000002,22.434098406884054,34.94665225539127,28.778000000000002,22.434098406884054,34.94665225539127,0.2592878655108755,0.0004702711253874429,1.0,-7.378616263982879,-21.650945420031235,77.11222185980411,-0.19999999999999998,-1.0,1.0
