ID,Sensitivity,Sensitivity_lower_bound,Sensitivity_upper_bound,Specificity,Specificity_lower_bound,Specificity_upper_bound,Precision,Precision_lower_bound,Precision_upper_bound,Balanced Accuracy,Balanced Accuracy_lower_bound,Balanced Accuracy_upper_bound,Accuracy,Accuracy_lower_bound,Accuracy_upper_bound,MCC,MCC_lower_bound,MCC_upper_bound,Cohen Kappa,Cohen Kappa_lower_bound,Cohen Kappa_upper_bound,Youdens J,Youdens J_lower_bound,Youdens J_upper_bound,True Positive,True Positive_lower_bound,True Positive_upper_bound,False Negative,False Negative_lower_bound,False Negative_upper_bound,True Negative,True Negative_lower_bound,True Negative_upper_bound,False Positive,False Positive_lower_bound,False Positive_upper_bound
9,0.09505520883341334,0.08264462809917356,0.1079065141720537,0.9783479061205707,0.9769831578462318,0.9796995253237476,0.17383669885864794,0.152135231316726,0.19638242894056848,0.536701557476992,0.5304927830063966,0.5431786158592696,0.937948751729135,0.9357310673429506,0.9401225215730189,0.09820442951013832,0.08193635186622109,0.11508347804453761,0.09359486896081426,0.0780478822103935,0.10980189411408514,0.073403114953984,0.060985566012793146,0.08635723171853926,198,171.0,227.0,1885,1803.0,1968.0,42519,42414.0,42622.0,941,883.0,1000.0
3,0.08257321171387422,0.07112375533428165,0.09430255402750491,0.9430280717901519,0.940808392187536,0.9452209093834766,0.0649546827794562,0.05582433941198362,0.07449638920562524,0.512800641752013,0.5069614334774406,0.5188500160395122,0.9036734514634521,0.9009507498408098,0.9064181103572448,0.022855404315947955,0.012479737207429646,0.03361305327873689,0.022673630958581437,0.012374210784704465,0.0332870674271345,0.025601283504026018,0.013922866954881208,0.03770003207902439,172,147.0,198.0,1911,1828.0,1999.0,40984,40858.0,41111.0,2476,2381.0,2572.0
4,0.056649063850216036,0.04703087885985748,0.06692160611854685,0.9649102623101703,0.9632014719411224,0.9666421105944104,0.07181984175289105,0.059574468085106386,0.08477722772277228,0.5107796630801932,0.5058533874091379,0.5159753715626388,0.9233691236853084,0.9209757811299212,0.925850295325297,0.024153142126219614,0.013113856233880955,0.0358107324011264,0.023969582031100223,0.013025746516920456,0.035528929409264776,0.02155932616038636,0.011706774818275756,0.03195074312527768,118,97.0,140.0,1965,1881.0,2048.0,41935,41824.0,42050.0,1525,1450.0,1599.0
6,0.0513682189150264,0.04194470924690181,0.060945880058508047,0.9796134376438104,0.9782698770774826,0.9809231620954534,0.10775427995971802,0.08823529411764706,0.12736842105263158,0.5154908282794184,0.5106954997231694,0.5203352813222063,0.9371582899677228,0.9348088619546363,0.939354017082757,0.04431958171263157,0.030534109186686823,0.05809721787595811,0.04125945185788982,0.028434345669711814,0.05402124832825017,0.03098165655883678,0.02139099944633882,0.0406705626444126,107,87.0,128.0,1976,1890.0,2063.0,42574,42467.0,42677.0,886,829.0,944.0
